i#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
596	Felipe De La Cruz	NYM	12	27	75.1	4	5		0	0	75	39	10	70	34	1.45	8.37	4.06	4.66	4.52	0.5	0.2	999.0
597	Billy Corcoran	ARI	16	16	80.2	5	6		0	0	88	40	11	53	24	1.39	5.91	2.68	4.46	4.60	0.5	0.8	999.0
598	Zack Thompson	STL	13	24	73.0	4	5		0	1	69	37	9	71	37	1.45	8.75	4.56	4.56	4.48	0.5	0.4	999.0
599	Trevor Williams	WSN	13	15	65.2	3	5		0	1	74	36	10	51	21	1.45	6.99	2.88	4.93	4.61	0.5	0.2	999.0
600	Jose Fleury	HOU	16	22	77.1	3	3		0	0	76	39	12	66	30	1.37	7.68	3.49	4.54	4.69	0.5	0.5	999.0
601	Chris Martin	TEX	0	45	40.2	4	2		4	12	39	15	5	39	8	1.15	8.62	1.77	3.32	3.48	0.5	0.5	735.9
602	Charles King	PHI	19	23	100.0	5	6		0	0	112	58	16	68	32	1.44	6.12	2.88	5.22	4.94	0.5	0.1	999.0
603	Griffin Canning	SDP	20	20	102.0	6	6		0	1	100	54	17	92	40	1.37	8.12	3.53	4.76	4.76	0.5	0.4	999.0
604	Jake Bird	NYY	0	58	70.2	4	3		0	10	59	32	7	78	30	1.26	9.93	3.82	4.07	3.83	0.5	0.1	999.0
605	Lucas Erceg	KCR	0	55	55.0	5	5		2	13	49	23	4	52	22	1.29	8.51	3.60	3.76	3.66	0.5	0.4	999.0
606	Blake Wehunt	BOS	18	18	69.2	4	6		0	0	71	37	10	57	28	1.42	7.36	3.62	4.78	4.74	0.5	0.4	999.0
607	Taylor Rashi	ARI	2	43	69.0	4	2		0	0	64	29	7	68	30	1.36	8.87	3.91	3.78	3.87	0.5	0.7	999.0
608	Cameron Weston	BAL	21	25	114.0	5	8		0	0	113	63	17	94	45	1.39	7.42	3.55	4.97	4.90	0.5	0.1	999.0
609	Jared Shuster	STL	10	32	81.0	4	5		0	0	85	41	9	55	29	1.41	6.11	3.22	4.56	4.33	0.5	0.3	999.0
610	Connor Phillips	CIN	12	38	78.2	4	6		0	7	70	43	11	83	41	1.41	9.49	4.69	4.92	4.63	0.5	0.3	999.0
611	Anthony Molina	ATL	15	28	100.0	4	5		0	0	111	55	14	67	29	1.40	6.03	2.61	4.95	4.55	0.5	0.3	999.0
612	Tomoyuki Sugano	COL	24	24	133.0	7	10		0	0	152	72	25	86	31	1.38	5.82	2.10	4.87	5.07	0.5	0.3	999.0
613	Scott Barlow	ATH	1	64	60.2	4	4		2	9	51	29	7	67	31	1.35	9.93	4.60	4.30	4.16	0.5	0.3	999.0
614	Davis Daniel	CIN	18	23	102.1	6	10		0	0	109	64	18	76	36	1.42	6.69	3.17	5.63	5.11	0.5	-0.2	999.0
615	JoJo Romero	STL	0	61	58.0	6	3		14	9	50	22	5	57	23	1.26	8.84	3.57	3.41	3.58	0.5	0.6	590.6
616	Brad Keller	PHI	8	46	81.1	5	5		2	16	77	40	11	74	33	1.35	8.19	3.65	4.43	4.44	0.5	0.5	999.0
617	Tommy Henry	ARI	18	20	99.0	5	6		0	0	102	50	13	74	37	1.40	6.73	3.36	4.55	4.59	0.4	0.9	999.0
618	Reid VanScoter	SEA	20	20	89.2	5	5		0	0	97	47	12	58	29	1.40	5.82	2.91	4.72	4.65	0.4	0.1	999.0
619	Cody Poteet		10	14	48.0	2	2		0	0	47	23	6	40	17	1.33	7.50	3.19	4.31	4.28	0.4	0.4	999.0
620	Tyler Kinley	ATL	0	58	57.0	4	3		0	13	48	25	7	65	24	1.26	10.26	3.79	3.95	3.82	0.4	0.3	999.0
621	Ben Joyce	LAA	1	44	46.1	2	1		8	0	37	19	4	54	20	1.23	10.50	3.89	3.69	3.61	0.4	0.4	720.2
622	Erick Fedde	CHW	22	26	126.2	7	9		0	1	129	70	21	99	49	1.40	7.03	3.48	4.97	4.96	0.4	0.3	999.0
623	Luke Little	CHC	2	45	57.0	2	2		0	1	43	25	5	65	32	1.32	10.26	5.05	3.95	3.99	0.4	0.4	999.0
624	Caleb Kilian	SFG	13	18	70.1	3	4		0	0	75	36	8	50	25	1.42	6.40	3.20	4.61	4.47	0.4	0.4	999.0
625	Nick Dombkowski	PIT	11	31	77.2	4	5		0	0	82	39	10	55	27	1.40	6.37	3.13	4.52	4.51	0.4	0.6	999.0
626	Mitch Myers	ATH	14	22	82.2	4	5		0	0	92	44	13	52	21	1.37	5.66	2.29	4.79	4.83	0.4	0.3	999.0
